id;cap;sigla_provincia
1582;22010;CO
1583;22034;CO
1584;22070;CO
1585;22060;CO
1586;22071;CO
1587;22030;CO
1588;22061;CO
1589;22063;CO
1590;22035;CO
1591;22070;CO
1592;22010;CO
1593;22070;CO
1594;22060;CO
1595;22010;CO
1596;22060;CO
1597;22030;CO
1598;22070;CO
1599;22070;CO
1600;22030;CO
1601;22070;CO
1602;22010;CO
1603;22020;CO
1604;22072;CO
1605;22012;CO
1606;22070;CO
1607;22010;CO
1608;22010;CO
1609;22100;CO
1610;22010;CO
1611;22010;CO
1612;22060;CO
1613;22010;CO
1614;22020;CO
1615;22013;CO
1616;22014;CO
1617;22010;CO
1618;22036;CO
1619;22030;CO
1620;22020;CO
1621;22020;CO
1622;22070;CO
1623;22060;CO
1624;22073;CO
1625;22010;CO
1626;22010;CO
1627;22070;CO
1628;22010;CO
1629;22011;CO
1630;22070;CO
1631;22044;CO
1632;22010;CO
1633;22020;CO
1634;22045;CO
1635;22030;CO
1636;22025;CO
1637;22070;CO
1638;22030;CO
1639;22010;CO
1640;22070;CO
1641;22074;CO
1642;22030;CO
1643;22070;CO
1644;22040;CO
1645;22070;CO
1646;22075;CO
1647;22030;CO
1648;22066;CO
1649;22026;CO
1650;22017;CO
1651;22046;CO
1652;22010;CO
1653;22040;CO
1654;22070;CO
1655;22010;CO
1656;22030;CO
1657;22076;CO
1658;22010;CO
